"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,0.510724622412698,0.600474074809141
"Base_Taster",-0.0622066855975509,0.0551537752238302,0.260087166474192,NA,NA
"Base_Supertaster",-0.0580976519625558,0.0554905184197978,0.295776235397459,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,0.520648023380067,0.594571213016551
"Lifestyle_Taster",-0.0608046832470159,0.0550097775881119,0.269731077527192,NA,NA
"Lifestyle_Supertaster",-0.0405605911328097,0.0556647833264428,0.466673056709274,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,0.519736850749419,0.59511287176269
"Carb.Quality_Taster",-0.0617310843484904,0.0550799745364605,0.263123575145617,NA,NA
"Carb.Quality_Supertaster",-0.0400516753695827,0.0557201175390797,0.472719703490793,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,0.520177053758938,0.594857698632795
"Diet.Patterns_Taster",-0.0684239632597191,0.0557124816047774,0.220181810104505,NA,NA
"Diet.Patterns_Supertaster",-0.0432422800325883,0.0561089306323307,0.441395303715016,NA,NA
