"model","beta","se","p","f","f_p"
"0to2hr_Base_Nontaster",NA,NA,NA,0.769868193571607,0.469813079643111
"0to2hr_Base_Taster",0.0465698761169265,0.281582353158358,0.869472954073007,NA,NA
"0to2hr_Base_Supertaster",0.269230067232007,0.286429609887906,0.352884081069305,NA,NA
"0to2hr_Lifestyle_Nontaster",NA,NA,NA,0.729027834579691,0.4904644027173
"0to2hr_Lifestyle_Taster",0.0740902406091265,0.310272104824576,0.812839109645489,NA,NA
"0to2hr_Lifestyle_Supertaster",0.284469453006085,0.322716561599662,0.384839703995253,NA,NA
"0to2hr_Carb.Quality_Nontaster",NA,NA,NA,0.732278356334195,0.489209133897665
"0to2hr_Carb.Quality_Taster",0.121751857078558,0.312789424388422,0.699843957044129,NA,NA
"0to2hr_Carb.Quality_Supertaster",0.360777983670618,0.32984778275794,0.282760287908142,NA,NA
"0to2hr_Diet.Patterns_Nontaster",NA,NA,NA,0.747242464054573,0.483956800310646
"0to2hr_Diet.Patterns_Taster",0.0785179794160586,0.36245873275451,0.830257841250128,NA,NA
"0to2hr_Diet.Patterns_Supertaster",0.313682689162912,0.401817027756804,0.442331827591445,NA,NA
"3hr_Base_Nontaster",NA,NA,NA,2.00129639335991,0.141954636623464
"3hr_Base_Taster",-0.101416467854994,0.194224767195573,0.603019817752862,NA,NA
"3hr_Base_Supertaster",-0.308438526546732,0.200298267461823,0.127581804485003,NA,NA
"3hr_Lifestyle_Nontaster",NA,NA,NA,1.88036686419854,0.160157917982283
"3hr_Lifestyle_Taster",-0.119529814015838,0.211118646525921,0.573086441123112,NA,NA
"3hr_Lifestyle_Supertaster",-0.354430796718879,0.22290279568417,0.116325878646504,NA,NA
"3hr_Carb.Quality_Nontaster",NA,NA,NA,1.92630009966433,0.153440204186204
"3hr_Carb.Quality_Taster",-0.153983311070725,0.20963373636016,0.465111766945205,NA,NA
"3hr_Carb.Quality_Supertaster",-0.405266258877061,0.222383678919421,0.0727314820473371,NA,NA
"3hr_Diet.Patterns_Nontaster",NA,NA,NA,1.89732650176453,0.158308785417505
"3hr_Diet.Patterns_Taster",-0.0983773802338225,0.222902394617748,0.660449066940218,NA,NA
"3hr_Diet.Patterns_Supertaster",-0.293137254425822,0.234444482830981,0.215724724223583,NA,NA
"4hr_Base_Nontaster",NA,NA,NA,0.899124685388042,0.411048469175852
"4hr_Base_Taster",-0.0496316556659329,0.215495088218533,0.818442706907223,NA,NA
"4hr_Base_Supertaster",0.0038843362362617,0.218298280761065,0.985848286020061,NA,NA
"4hr_Lifestyle_Nontaster",NA,NA,NA,0.818941655943757,0.445077168922286
"4hr_Lifestyle_Taster",0.0164356680931928,0.240265355325352,0.945657221363017,NA,NA
"4hr_Lifestyle_Supertaster",0.0583588459223617,0.238514930162926,0.807423233452487,NA,NA
"4hr_Carb.Quality_Nontaster",NA,NA,NA,0.836872341459162,0.437410364009695
"4hr_Carb.Quality_Taster",0.0304538353827835,0.237840646129154,0.898487384906504,NA,NA
"4hr_Carb.Quality_Supertaster",0.0780108953561901,0.236268829410915,0.742265468561409,NA,NA
"4hr_Diet.Patterns_Nontaster",NA,NA,NA,0.807402329192386,0.450505689513177
"4hr_Diet.Patterns_Taster",0.0242759164218472,0.251091105591786,0.923281291784014,NA,NA
"4hr_Diet.Patterns_Supertaster",0.0449306478626955,0.247485599409521,0.856510805813023,NA,NA
"5hr_Base_Nontaster",NA,NA,NA,1.2336689945336,0.303575074241122
"5hr_Base_Taster",0.429189977889539,0.317887549559151,0.185640740494499,NA,NA
"5hr_Base_Supertaster",0.30435603501541,0.28432014449283,0.291734824696286,NA,NA
"5hr_Lifestyle_Nontaster",NA,NA,NA,1.30071410584585,0.289476399066113
"5hr_Lifestyle_Taster",0.536883969862186,0.376531784853379,0.16580376104417,NA,NA
"5hr_Lifestyle_Supertaster",0.406052678125395,0.301126047664763,0.189144529637059,NA,NA
"5hr_Carb.Quality_Nontaster",NA,NA,NA,1.25967445057731,0.301143281257908
"5hr_Carb.Quality_Taster",0.526869484957044,0.383345041450275,0.181513830909689,NA,NA
"5hr_Carb.Quality_Supertaster",0.368024978145769,0.318873561500724,0.259356627894359,NA,NA
"5hr_Diet.Patterns_Nontaster",NA,NA,NA,1.35432521105645,0.28079327906685
"5hr_Diet.Patterns_Taster",0.547046356257893,0.386321568269915,0.172150234684435,NA,NA
"5hr_Diet.Patterns_Supertaster",0.34855930655022,0.326379266190098,0.298261213633567,NA,NA
"6+hr_Base_Nontaster",NA,NA,NA,0.0621010081196707,0.939830554378817
"6+hr_Base_Taster",-0.0223496189243632,0.155787014086072,0.886264365181976,NA,NA
"6+hr_Base_Supertaster",-0.0250344068233859,0.162056714836902,0.877598048580917,NA,NA
"6+hr_Lifestyle_Nontaster",NA,NA,NA,0.0609634781019493,0.940903562766588
"6+hr_Lifestyle_Taster",0.0115322926108641,0.165073719742802,0.944487418582068,NA,NA
"6+hr_Lifestyle_Supertaster",-0.0185134284364622,0.170706922947896,0.913923341328885,NA,NA
"6+hr_Carb.Quality_Nontaster",NA,NA,NA,0.0623427169329756,0.939609465038815
"6+hr_Carb.Quality_Taster",-0.00490471417714627,0.163541531582467,0.976154187101007,NA,NA
"6+hr_Carb.Quality_Supertaster",-0.00388176755768125,0.169041061667146,0.981740406946539,NA,NA
"6+hr_Diet.Patterns_Nontaster",NA,NA,NA,0.0588892010418783,0.942857883425824
"6+hr_Diet.Patterns_Taster",0.00484519716951294,0.176195395519012,0.978139985367,NA,NA
"6+hr_Diet.Patterns_Supertaster",-0.00617409041676678,0.17988686854834,0.972718006039876,NA,NA
