"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,0.00243457818725086,0.997568398636744
"Base_Taster",0.0698596813201476,0.0878569965435224,0.427023983679244,NA,NA
"Base_Supertaster",0.0431786382569035,0.0883934103372132,0.625491343105536,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,0.00241000427969857,0.997592913151227
"Lifestyle_Taster",0.0772307738391097,0.0889247529031454,0.385687476415144,NA,NA
"Lifestyle_Supertaster",0.0593152120253191,0.0899835869138433,0.510192536767879,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,0.00240347321696934,0.997599428471845
"Carb.Quality_Taster",0.0772202480934256,0.0890810680815837,0.386587059881013,NA,NA
"Carb.Quality_Supertaster",0.0593209943132394,0.0901163739777497,0.510775614833679,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,0.00237882738293848,0.997624015336555
"Diet.Patterns_Taster",0.0787976668256701,0.0906079297126687,0.385063477582468,NA,NA
"Diet.Patterns_Supertaster",0.0583569864821947,0.0912526941279039,0.522894750248331,NA,NA
