"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,1.01284038074743,0.363192382673465
"Base_Taster",0.00313458393070346,0.0028416266551584,0.269990546078991,NA,NA
"Base_Supertaster",0.00305069829567249,0.00251463859335907,0.225067639441495,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,1.02096845461395,0.360252397184021
"Lifestyle_Taster",0.00287000663002625,0.00283058818965171,0.31062237120919,NA,NA
"Lifestyle_Supertaster",0.00272831508974543,0.00250495847426703,0.276085328227148,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,1.02156805160819,0.360036463429231
"Carb.Quality_Taster",0.00288810418472036,0.0028297590368194,0.307439540175433,NA,NA
"Carb.Quality_Supertaster",0.00264859451258807,0.00250425961138955,0.29022596146675,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,1.02376426143737,0.359246643994859
"Diet.Patterns_Taster",0.00291403266853921,0.00282685592922298,0.302620758537393,NA,NA
"Diet.Patterns_Supertaster",0.00263947976147749,0.00250182994333229,0.29142075388988,NA,NA
