"model","beta","se","p","f","f_p"
"0to2hr_Base_Nontaster",NA,NA,NA,3.63959615832205,0.0262864619853604
"0to2hr_Base_Taster",-0.0251719030743704,0.016876278554206,0.135837076011487,NA,NA
"0to2hr_Base_Supertaster",-0.0414448896378526,0.0150920746084927,0.00603746205550686,NA,NA
"0to2hr_Lifestyle_Nontaster",NA,NA,NA,3.64479191620219,0.0261503192264715
"0to2hr_Lifestyle_Taster",-0.0253790299196052,0.0168705887165796,0.132516291578782,NA,NA
"0to2hr_Lifestyle_Supertaster",-0.041305860152343,0.0150859191477995,0.00618803697928148,NA,NA
"0to2hr_Carb.Quality_Nontaster",NA,NA,NA,3.64711120485977,0.0260897707742774
"0to2hr_Carb.Quality_Taster",-0.0256272793039922,0.016865399159244,0.128653515411843,NA,NA
"0to2hr_Carb.Quality_Supertaster",-0.0413990365747476,0.0150811492795324,0.00605682734448121,NA,NA
"0to2hr_Diet.Patterns_Nontaster",NA,NA,NA,3.64844960022189,0.026054900827646
"0to2hr_Diet.Patterns_Taster",-0.0255994014467106,0.0168651265967223,0.129063599783371,NA,NA
"0to2hr_Diet.Patterns_Supertaster",-0.0412854537232052,0.0150814964478418,0.00619839401510099,NA,NA
"3hr_Base_Nontaster",NA,NA,NA,0.343676227473882,0.709163184324983
"3hr_Base_Taster",2.00902903529812e-05,0.0111097629300168,0.998557169978062,NA,NA
"3hr_Base_Supertaster",-0.00836531681003426,0.00982767804917725,0.394669824339343,NA,NA
"3hr_Lifestyle_Nontaster",NA,NA,NA,0.345205061793024,0.708079863775989
"3hr_Lifestyle_Taster",0.00129635177471924,0.0110888624414205,0.906936056458508,NA,NA
"3hr_Lifestyle_Supertaster",-0.00701325151188617,0.00980984027983354,0.474667791098859,NA,NA
"3hr_Carb.Quality_Nontaster",NA,NA,NA,0.345209302865516,0.708076861144944
"3hr_Carb.Quality_Taster",0.00141352465046897,0.0110893019885182,0.898571897547116,NA,NA
"3hr_Carb.Quality_Supertaster",-0.00707835619826215,0.00980995718495332,0.470581789570111,NA,NA
"3hr_Diet.Patterns_Nontaster",NA,NA,NA,0.345523737443126,0.707854262229269
"3hr_Diet.Patterns_Taster",0.00226759942833142,0.0110862809465003,0.837933056487401,NA,NA
"3hr_Diet.Patterns_Supertaster",-0.00611775688280557,0.0098080436040115,0.532800440367265,NA,NA
"4hr_Base_Nontaster",NA,NA,NA,0.0588821084752201,0.942818166126501
"4hr_Base_Taster",0.00602605346910255,0.0111962210017407,0.590433012824213,NA,NA
"4hr_Base_Supertaster",0.00608647673994046,0.00978249322741324,0.533834163806301,NA,NA
"4hr_Lifestyle_Nontaster",NA,NA,NA,0.0592664746618247,0.942455851834319
"4hr_Lifestyle_Taster",0.00567023684048242,0.0111614008130614,0.6114466234066,NA,NA
"4hr_Lifestyle_Supertaster",0.00564969862122225,0.00975283184846091,0.56240496735254,NA,NA
"4hr_Carb.Quality_Nontaster",NA,NA,NA,0.0592702575624775,0.942452286676879
"4hr_Carb.Quality_Taster",0.00566641985247184,0.0111610449793821,0.611675113427223,NA,NA
"4hr_Carb.Quality_Supertaster",0.00579575350644345,0.00975312045175205,0.552357967064652,NA,NA
"4hr_Diet.Patterns_Nontaster",NA,NA,NA,0.059341479016631,0.942385166961913
"4hr_Diet.Patterns_Taster",0.00593631184975757,0.0111561886219761,0.594659458642711,NA,NA
"4hr_Diet.Patterns_Supertaster",0.00638514134469364,0.00974887367211745,0.51250393656197,NA,NA
"5hr_Base_Nontaster",NA,NA,NA,3.23059483070991,0.0395947506218631
"5hr_Base_Taster",-0.0353045774736923,0.0147103826866927,0.0164228730514001,NA,NA
"5hr_Base_Supertaster",-0.015698081449837,0.0130271759631234,0.228235388164765,NA,NA
"5hr_Lifestyle_Nontaster",NA,NA,NA,3.25575890002326,0.0386118245567857
"5hr_Lifestyle_Taster",-0.0359013931969358,0.0146593756563511,0.0143489001779251,NA,NA
"5hr_Lifestyle_Supertaster",-0.0132860075340657,0.0129884143959133,0.306385851217043,NA,NA
"5hr_Carb.Quality_Nontaster",NA,NA,NA,3.25529819805588,0.038629609019156
"5hr_Carb.Quality_Taster",-0.0359214389119119,0.0146607516327912,0.0143036941989989,NA,NA
"5hr_Carb.Quality_Supertaster",-0.013312035318988,0.0129899778917791,0.30549754348731,NA,NA
"5hr_Diet.Patterns_Nontaster",NA,NA,NA,3.25921132439237,0.0384789308245601
"5hr_Diet.Patterns_Taster",-0.0359430138282295,0.0146559090524153,0.0142134027004893,NA,NA
"5hr_Diet.Patterns_Supertaster",-0.0132378361442326,0.0129855408333192,0.308035773010356,NA,NA
"6+hr_Base_Nontaster",NA,NA,NA,0.860466313719419,0.423024014986064
"6+hr_Base_Taster",0.0141726641386935,0.0165797571994571,0.392690996182978,NA,NA
"6+hr_Base_Supertaster",-0.00815786387583039,0.0147254347841752,0.579603525622646,NA,NA
"6+hr_Lifestyle_Nontaster",NA,NA,NA,0.86636716422317,0.42053607571986
"6+hr_Lifestyle_Taster",0.014820766237918,0.0165363989393442,0.370159520277851,NA,NA
"6+hr_Lifestyle_Supertaster",-0.00677450354813994,0.0146902392623444,0.644705120637834,NA,NA
"6+hr_Carb.Quality_Nontaster",NA,NA,NA,0.866238740559444,0.42059007957158
"6+hr_Carb.Quality_Taster",0.014818984880523,0.0165376251316158,0.370252526585104,NA,NA
"6+hr_Carb.Quality_Supertaster",-0.00674658334273473,0.0146914501574487,0.646096293761325,NA,NA
"6+hr_Diet.Patterns_Nontaster",NA,NA,NA,0.867101416695415,0.420227578759613
"6+hr_Diet.Patterns_Taster",0.0152037155770767,0.0165323849446542,0.357806996057523,NA,NA
"6+hr_Diet.Patterns_Supertaster",-0.00613355006493944,0.0146904920130057,0.676316300095892,NA,NA
