"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,3.06478194733826,0.0466716110906959
"Base_Taster",-0.00860046373549372,0.0065185260443068,0.187044732778188,NA,NA
"Base_Supertaster",-0.0139397646829509,0.00576843447504767,0.0156710503590045,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,3.07516978595249,0.046189355554631
"Lifestyle_Taster",-0.00819202068088492,0.00650818629922244,0.208134555327006,NA,NA
"Lifestyle_Supertaster",-0.0132561604647504,0.00575948719137129,0.0213600622985048,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,3.07542016773265,0.0461777933927557
"Carb.Quality_Taster",-0.00817519993212946,0.00650792518057773,0.209051654027719,NA,NA
"Carb.Quality_Supertaster",-0.013330256651869,0.00575933638575248,0.0206412108686946,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,3.07695569738671,0.0461069486377522
"Diet.Patterns_Taster",-0.00786275557074447,0.00650660900066334,0.226888391813297,NA,NA
"Diet.Patterns_Supertaster",-0.0129720092703904,0.00575849269824281,0.0242834256346709,NA,NA
