"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,0.060712409016172,0.941112798344779
"Base_Taster",0.0597245634578372,0.0523596081931863,0.255501601232921,NA,NA
"Base_Supertaster",0.0561287251952077,0.0578361823386887,0.333089372466914,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,0.0623667436911217,0.939559246592091
"Lifestyle_Taster",0.0344188098437266,0.052945474245104,0.516497714826431,NA,NA
"Lifestyle_Supertaster",0.0469684843141193,0.0580997820452958,0.419958110550422,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,0.0624997545026214,0.939434494761193
"Carb.Quality_Taster",0.0486178670507668,0.0542614325880911,0.371501501565417,NA,NA
"Carb.Quality_Supertaster",0.0580795219598641,0.0588085216182004,0.324725952990225,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,0.0628063192416161,0.939147386486753
"Diet.Patterns_Taster",0.067005677709432,0.0548387229475498,0.223469247868154,NA,NA
"Diet.Patterns_Supertaster",0.0690875069581139,0.0592409650854424,0.245181749382091,NA,NA
