"model","beta","se","p","f","f_p"
"0to2hr_Base_Nontaster",NA,NA,NA,0.0214377570548517,0.978807680678741
"0to2hr_Base_Taster",0.151622044016829,0.338679121521619,0.658087463423167,NA,NA
"0to2hr_Base_Supertaster",0.0920158391748708,0.426773174530649,0.830975566601683,NA,NA
"0to2hr_Lifestyle_Nontaster",NA,NA,NA,0.0235119925586775,0.976793965585604
"0to2hr_Lifestyle_Taster",0.358155523157371,0.431428771637644,0.417953739336594,NA,NA
"0to2hr_Lifestyle_Supertaster",0.460130306433908,0.556002524018889,0.41938084434788,NA,NA
"0to2hr_Carb.Quality_Nontaster",NA,NA,NA,0.0227401582110205,0.977547984179994
"0to2hr_Carb.Quality_Taster",0.393841251597925,0.441961431975332,0.386068798260832,NA,NA
"0to2hr_Carb.Quality_Supertaster",0.394423451543335,0.573934392261668,0.5017801022869,NA,NA
"0to2hr_Diet.Patterns_Nontaster",NA,NA,NA,0.0283904952198833,0.97207970987472
"0to2hr_Diet.Patterns_Taster",0.474805457162084,0.468289846205704,0.332406840697507,NA,NA
"0to2hr_Diet.Patterns_Supertaster",0.87538350166937,0.62537121807801,0.189144056759554,NA,NA
"3hr_Base_Nontaster",NA,NA,NA,2.2344148524331,0.125799682175293
"3hr_Base_Taster",0.289582738349935,0.309187943504176,0.356977418220134,NA,NA
"3hr_Base_Supertaster",-0.148925148386486,0.342821392986333,0.667319960108076,NA,NA
"3hr_Lifestyle_Nontaster",NA,NA,NA,2.17080710290118,0.141551926852366
"3hr_Lifestyle_Taster",0.52065995471013,0.361897393286877,0.166507127418572,NA,NA
"3hr_Lifestyle_Supertaster",0.00173934301610227,0.410903123087822,0.996666712909734,NA,NA
"3hr_Carb.Quality_Nontaster",NA,NA,NA,2.11192112391293,0.149996192536819
"3hr_Carb.Quality_Taster",0.528680935715416,0.367088911337031,0.166978616313596,NA,NA
"3hr_Carb.Quality_Supertaster",-0.0125807659941908,0.417099853327254,0.976269394056046,NA,NA
"3hr_Diet.Patterns_Nontaster",NA,NA,NA,2.44959323346989,0.125087925336795
"3hr_Diet.Patterns_Taster",0.696767622804927,0.422472608061832,0.123035626355919,NA,NA
"3hr_Diet.Patterns_Supertaster",0.328136317969011,0.543155968710937,0.556154455911533,NA,NA
"4hr_Base_Nontaster",NA,NA,NA,0.139304066270602,0.87047233046115
"4hr_Base_Taster",-0.0717515639926633,0.1307587957931,0.586883005703191,NA,NA
"4hr_Base_Supertaster",-0.141461420014516,0.151945337170543,0.358613845204491,NA,NA
"4hr_Lifestyle_Nontaster",NA,NA,NA,0.134465227929132,0.874837225246198
"4hr_Lifestyle_Taster",-0.0164359969692582,0.166149137466191,0.922020905606026,NA,NA
"4hr_Lifestyle_Supertaster",-0.0407793553336376,0.180840041572834,0.823499825202598,NA,NA
"4hr_Carb.Quality_Nontaster",NA,NA,NA,0.139320172387087,0.870678044716204
"4hr_Carb.Quality_Taster",-0.0820443049182148,0.170146038783483,0.634221496314006,NA,NA
"4hr_Carb.Quality_Supertaster",-0.115465788504878,0.185881583556172,0.540589766156412,NA,NA
"4hr_Diet.Patterns_Nontaster",NA,NA,NA,0.161671864208556,0.851941919907301
"4hr_Diet.Patterns_Taster",0.0438896260344311,0.17227261701733,0.801789949237186,NA,NA
"4hr_Diet.Patterns_Supertaster",-0.101117739212314,0.183563519225625,0.588502481629388,NA,NA
"5hr_Base_Nontaster",NA,NA,NA,1.5028233403146,0.250621761854993
"5hr_Base_Taster",0.0294925013915362,0.179320154322446,0.871302123191286,NA,NA
"5hr_Base_Supertaster",0.0575357814761921,0.167109496249077,0.734843041598543,NA,NA
"5hr_Lifestyle_Nontaster",NA,NA,NA,0.905162886578775,0.442207628936828
"5hr_Lifestyle_Taster",0.00954015205954584,0.319327386428653,0.976898002928441,NA,NA
"5hr_Lifestyle_Supertaster",0.119848103402661,0.254169637390586,0.649855724814622,NA,NA
"5hr_Carb.Quality_Nontaster",NA,NA,NA,0.793899345040258,0.488941213527796
"5hr_Carb.Quality_Taster",-0.00132157225926415,0.351218333207951,0.997102698799043,NA,NA
"5hr_Carb.Quality_Supertaster",0.104118728283492,0.297543164832934,0.736684760860738,NA,NA
"5hr_Diet.Patterns_Nontaster",NA,NA,NA,0.281752589660349,0.780181766798684
"5hr_Diet.Patterns_Taster",-0.20688328710336,1.0571234835954,0.862922672263406,NA,NA
"5hr_Diet.Patterns_Supertaster",-0.0510301710719506,0.98270425806755,0.963305868616035,NA,NA
"6+hr_Base_Nontaster",NA,NA,NA,1.19970486774854,0.323103872664241
"6+hr_Base_Taster",0.379601757663911,0.393303963000715,0.346589000720598,NA,NA
"6+hr_Base_Supertaster",0.173410751605855,0.464690882896305,0.713149549074496,NA,NA
"6+hr_Lifestyle_Nontaster",NA,NA,NA,1.32964704752056,0.307576077014665
"6+hr_Lifestyle_Taster",-0.144441591876369,0.549327199878333,0.797932753290788,NA,NA
"6+hr_Lifestyle_Supertaster",-0.314579816119049,0.772057641310045,0.692258463354379,NA,NA
"6+hr_Carb.Quality_Nontaster",NA,NA,NA,2.3107081286476,0.154914154515468
"6+hr_Carb.Quality_Taster",-0.405251809321538,0.426333502898774,0.366658781224318,NA,NA
"6+hr_Carb.Quality_Supertaster",-0.4497772729522,0.587519310437303,0.463544867947492,NA,NA
"6+hr_Diet.Patterns_Nontaster",NA,NA,NA,3.13508654808181,0.151692621215853
"6+hr_Diet.Patterns_Taster",-0.811113817710907,0.565754918252943,0.224960864582208,NA,NA
"6+hr_Diet.Patterns_Supertaster",-0.991841841362769,0.870033096673213,0.317912024384413,NA,NA
