"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,0.641227835676331,0.527824503494842
"Base_Taster",0.0430319589403691,0.103265460760323,0.677377432902077,NA,NA
"Base_Supertaster",-0.0388598626833281,0.114066552900599,0.733737456743726,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,0.649749880703222,0.523438569556081
"Lifestyle_Taster",0.0385523508070297,0.105137688048469,0.714299956350377,NA,NA
"Lifestyle_Supertaster",-0.00866041913244525,0.115372972807533,0.940249592848279,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,0.647430618355963,0.524652199173784
"Carb.Quality_Taster",0.0236873802737483,0.108058751119839,0.826746164979194,NA,NA
"Carb.Quality_Supertaster",-0.0202925468709181,0.117114036584826,0.862640442202551,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,0.665735818175117,0.515245622798094
"Diet.Patterns_Taster",0.055445788050667,0.107960327084497,0.608223526951838,NA,NA
"Diet.Patterns_Supertaster",-0.0286533305932126,0.11662696765464,0.806227070015913,NA,NA
