"model","beta","se","p","f","f_p"
"0to2hr_Base_Nontaster",NA,NA,NA,0.230702907849792,0.794242298426489
"0to2hr_Base_Taster",0.011463841848601,0.125765410467944,0.927486812738045,NA,NA
"0to2hr_Base_Supertaster",0.18439769134248,0.178866237394654,0.304151461425046,NA,NA
"0to2hr_Lifestyle_Nontaster",NA,NA,NA,0.232814790914937,0.792587974682828
"0to2hr_Lifestyle_Taster",-0.00318525915266503,0.127690658964302,0.980132112687398,NA,NA
"0to2hr_Lifestyle_Supertaster",0.181564390579803,0.183207378595231,0.323276562527439,NA,NA
"0to2hr_Carb.Quality_Nontaster",NA,NA,NA,0.232718383866804,0.792666090028054
"0to2hr_Carb.Quality_Taster",0.00652454107275665,0.12810986984216,0.959450559932991,NA,NA
"0to2hr_Carb.Quality_Supertaster",0.189527903158083,0.183429648733845,0.303174346559976,NA,NA
"0to2hr_Diet.Patterns_Nontaster",NA,NA,NA,0.24891469304026,0.779983573129012
"0to2hr_Diet.Patterns_Taster",-0.0137373773843509,0.127338862323293,0.914241719095115,NA,NA
"0to2hr_Diet.Patterns_Supertaster",0.0711329740691981,0.180563459612178,0.694204780067042,NA,NA
"3hr_Base_Nontaster",NA,NA,NA,2.44384400345581,0.0889756611065529
"3hr_Base_Taster",0.0982311538632431,0.0659667546270759,0.137768229083681,NA,NA
"3hr_Base_Supertaster",0.200349774013667,0.100798897352301,0.0479856996077966,NA,NA
"3hr_Lifestyle_Nontaster",NA,NA,NA,2.42260866894014,0.0909306722334116
"3hr_Lifestyle_Taster",0.0805667918252955,0.0680038280957589,0.237332860970661,NA,NA
"3hr_Lifestyle_Supertaster",0.173325974796629,0.104131947399174,0.0973656737000012,NA,NA
"3hr_Carb.Quality_Nontaster",NA,NA,NA,2.42199853609111,0.0909947215479788
"3hr_Carb.Quality_Taster",0.0727378889908189,0.0684892749534711,0.289329623722807,NA,NA
"3hr_Carb.Quality_Supertaster",0.165180292792078,0.104482839206097,0.115261763753871,NA,NA
"3hr_Diet.Patterns_Nontaster",NA,NA,NA,2.43122298855702,0.0902259682019672
"3hr_Diet.Patterns_Taster",0.10068693372303,0.0707416851527024,0.1560270060067,NA,NA
