"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,1.43605873782178,0.238409114103074
"Base_Taster",0.0323768810304594,0.0385047205049488,0.40065309047292,NA,NA
"Base_Supertaster",0.107635290216104,0.0546621119178074,0.0492484540439293,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,1.43491816810199,0.23868584062567
"Lifestyle_Taster",0.0336840959967157,0.0386000039889962,0.383092298166516,NA,NA
"Lifestyle_Supertaster",0.0985869859564202,0.0548189277244048,0.0724509702297368,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,1.44145283854819,0.237136811409893
"Carb.Quality_Taster",0.0309011264932291,0.0385323218268982,0.422794466130969,NA,NA
"Carb.Quality_Supertaster",0.101281506295013,0.0547076740586833,0.0644551232402779,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,1.45555319298311,0.233830427935829
"Diet.Patterns_Taster",0.0388978555840094,0.0385799538080257,0.313615425100457,NA,NA
"Diet.Patterns_Supertaster",0.102220476712087,0.054852447114794,0.0627161743258933,NA,NA
